5: program -> PROGRAM
5: silly -> ID
5: ; -> SEMI
6: var -> VAR
7: int -> INT
7: xxxx -> ID
7: ; -> SEMI
8: int -> INT
8: yyy -> ID
8: ; -> SEMI
9: int -> INT
9: longidentifier -> ID
9: ; -> SEMI
10: begin -> BEGIN
11: write -> WRITE
11: "Silly program.\n" -> STR_VAL
11: ; -> SEMI
12: write -> WRITE
12: 4 -> INT_VAL
12: + -> PLUS
12: 3 -> INT_VAL
12: * -> TIMES
12: 2 -> INT_VAL
12: ; -> SEMI
13: write -> WRITE
13: "Silly program.\n" -> STR_VAL
13: ; -> SEMI
14: xxxx -> ID
14: := -> ASSIGN
14: 4 -> INT_VAL
14: ; -> SEMI
15: longidentifier -> ID
15: := -> ASSIGN
15: 4 -> INT_VAL
15: ; -> SEMI
16: yyy -> ID
16: := -> ASSIGN
16: longidentifier -> ID
16: ; -> SEMI
17: write -> WRITE
17: ( -> LPAR
17: xxxx -> ID
17: * -> TIMES
17: yyy -> ID
17: ) -> RPAR
17: / -> OVER
17: longidentifier -> ID
17: ; -> SEMI
18: end -> END
