[@0,68:74='program',<'program'>,5:0]
[@1,76:80='arith',<ID>,5:8]
[@2,81:81=';',<';'>,5:13]
[@3,83:85='var',<'var'>,6:0]
[@4,87:91='begin',<'begin'>,7:0]
[@5,97:101='write',<'write'>,8:4]
[@6,103:103='4',<INT_VAL>,8:10]
[@7,105:105='+',<'+'>,8:12]
[@8,107:107='2',<INT_VAL>,8:14]
[@9,108:108=';',<';'>,8:15]
[@10,114:118='write',<'write'>,9:4]
[@11,120:120='5',<INT_VAL>,9:10]
[@12,122:122='-',<'-'>,9:12]
[@13,124:124='2',<INT_VAL>,9:14]
[@14,125:125=';',<';'>,9:15]
[@15,131:135='write',<'write'>,10:4]
[@16,137:137='4',<INT_VAL>,10:10]
[@17,139:139='*',<'*'>,10:12]
[@18,141:141='2',<INT_VAL>,10:14]
[@19,142:142=';',<';'>,10:15]
[@20,148:152='write',<'write'>,11:4]
[@21,154:154='4',<INT_VAL>,11:10]
[@22,156:156='/',<'/'>,11:12]
[@23,158:158='2',<INT_VAL>,11:14]
[@24,159:159=';',<';'>,11:15]
[@25,161:163='end',<'end'>,12:0]
[@26,165:164='<EOF>',<EOF>,13:0]
