[@0,66:72='program',<'program'>,5:0]
[@1,74:76='err',<ID>,5:8]
[@2,77:77=';',<';'>,5:11]
[@3,79:81='var',<'var'>,6:0]
[@4,87:89='int',<'int'>,7:4]
[@5,91:91='x',<ID>,7:8]
[@6,92:92=';',<';'>,7:9]
[@7,94:98='begin',<'begin'>,8:0]
[@8,104:107='read',<'read'>,9:4]
[@9,109:109='x',<ID>,9:9]
[@10,110:110=';',<';'>,9:10]
[@11,116:117='if',<'if'>,10:4]
[@12,119:119='x',<ID>,10:7]
[@13,121:121='=',<'='>,10:9]
[@14,123:123='2',<INT_VAL>,10:11]
[@15,125:128='then',<'then'>,10:13]
[@16,138:142='write',<'write'>,11:8]
[@17,144:144='x',<ID>,11:14]
[@18,145:145=';',<';'>,11:15]
[@19,151:155='write',<'write'>,12:4]
[@20,157:157='0',<INT_VAL>,12:10]
[@21,158:158=';',<';'>,12:11]
[@22,206:208='end',<'end'>,13:0]
[@23,210:209='<EOF>',<EOF>,14:0]
